User_name,Category,Comments,Comments_extra,Comments_merge,Comments_Cleaned,predicted_sentiment
Phương Uyên,Màu : A19 - đỏ hồng tomato,"son mềm mịn rất thích ,sẽ ủng hộ",Cực kì hài lòng,"son mềm mịn rất thích ,sẽ ủng hộ",son mềm mịn rất thích sẽ ủng hộ,Positive
Trần Thị Thu Khuyên,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Thuu Huyềnn,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Thái Cẩm Ly,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Thị Bé,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Vy Nguyễn,Màu : A10 - đỏ berry,chất liệu rất okee,Cực kì hài lòng,chất liệu rất okee,chất liệu rất oke,Positive
Vân Lưu,Màu : A01- đỏ dâu,rất hài lòng,Cực kì hài lòng,rất hài lòng,rất hài lòng,Positive
Longg Hoàngg,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngọc Linh Nguyễn,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phương Đài,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Huyền Trần,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Mai Mai,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phan Tấn Phát,Màu : A13 - nâu đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lan Nhi,Màu : A11 - hồng cháy,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trang Nguyen,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Cần Lắm,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
